Protest Name,Country Name,Date,Locality Name,School Name,Description of Protest,Primary Source,Additional Sources,LAT,LONG,Geographic Context (F1),Protest Location (F2),Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),unique-key
Algeria-June-2017,Algeria,22-Jun-17,Algiers,Ministry of Higher Education and Scientific Research,Academics protest the killing of University professors Karoui Bachir Serhan of Khemis Miliana University,https://www.middleeastmonitor.com/20170623-algerian-academics-protest-against-violence-on-campus/,https://www.alaraby.co.uk/english/news/2017/6/24/academics-protest-after-murder-of-algerian-professor,36.753768,3.0587561,Capital City,Government Property,Protest or demonstration,Teachers or Academic Staff,Solidarity protest,,"Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-2
Algeria-February-2014,Algeria,22-Feb-14,Algiers,"Ministry of Education,Algiers",High school students march in revolt of remedial courses mandated as a result of a teachers' strike.,https://www.dzbreaking.com/2014/02/24/null-7854/,,36.753768,3.0587561,Capital City,Secondary School,Protest or demonstration,Students,Government policy,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-15
Algeria-April-2011,Algeria,12-Apr-11,Algiers,"Place de la Grande Poste,Algiers","Students strike against poor teaching conditions and the devaluation of diplomas, by holding a daylong demonstration",https://www.dzbreaking.com/2011/04/12/null-6123/,http://www.universityworldnews.com/article.php?story=20110312104703162,36.753768,3.0587561,Capital City,College or University,"Protest or demonstration,March,Strike OR Boycott",Students,"School quality (food, water, electricity),Government policy",Federal government,,Algeria-10
Algeria-March-2012,Algeria,21-Mar-12,Algiers,Embassy of Mozambique,Mozambican students protest outside Mozambican embassy to demand an increase in their scholarship grant,https://allafrica.com/stories/201203220123.html,,36.753768,3.0587561,Capital City,,Protest or demonstration,Students,Government policy,International political or economic entity,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Algeria-23
Algeria-November-2017,Algeria,15-Nov-17,Algiers,University of Algiers,Medical Students at the University of Algiers are striking working and training conditions. The strike was organized by the Autonomous Collective of Algerian Medical Residents,http://www.universityworldnews.com/article.php?story=20180328102900423,https://www.garda.com/crisis24/news-alerts/113406/algeria-medical-residents-continue-strikes-and-protests-update-6,36.7697979,3.0552665,Capital City,College or University,"Protest or demonstration,Strike OR Boycott",Students,"School quality (food, water, electricity),Economic issues","School authority,Federal government",,Algeria-5
Algeria-March-2014,Algeria,13-Mar-14,Bouzaréah (Algiers),University of Algiers,Academic staff at the University of Algiers protest a fourth term of President Bouteflika,https://www.djazairess.com/fr/elwatan/449066,,36.7697979,3.0552665,Capital City,College or University,Protest or demonstration,Teachers or Academic Staff,Government policy,Federal government,,Algeria-13
Algeria-March-2011,Algeria,1-Mar-11,Tizi Ouzou,University of Tizi Ouzou,Students march to demand a change in university policy,http://www.universityworldnews.com/article.php?story=20110312104703162,,36.6981966,4.0580482,Major Urban Area,College or University,March,Students,"School quality (food, water, electricity)",School authority,,Algeria-11
Algeria-June-2009,Algeria,5-Jun-09,Skikda,University of Skikda,"Masters students decided to strike against the unreasonable requirements for registration into the fourth year, as stipulated by the MAD system",https://www.djazairess.com/akhersaa/17839,,36.8492216,6.8907318,Major Urban Area,College or University,Strike OR Boycott,Students,Other,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-21
Algeria-February-2018,Algeria,22-Feb-18,Bordj Menaïel,Boumerdès province,Students protest the dismissal of academic staff involved in the ongoing pay strike,https://www.garda.com/crisis24/news-alerts/93181/algeria-students-in-boumerdes-protest-dismissal-of-professors-feb-22,,36.7552496,3.7536663,Town,Public Space,"Protest or demonstration, Road block OR occupation",Students,"Solidarity protest,Government policy",,,Algeria-3
Algeria-February-2018,Algeria,21-Feb-18,,Algiers,Teachers are striking for better working conditions and payment,https://aawsat.com/english/home/article/1183571/teachers’-strike-disrupts-school-second-day-algeria,http://medafricatimes.com/15224-algeria-teachers-strike-a-risk-of-a-lost-academic-year.html,28.033886,1.659626,Nationwide,,Strike OR Boycott,Teachers or Academic Staff,Economic issues,Federal government,"Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-4
Algeria-December-2017,Algeria,13-Dec-17,,Algiers,University and High School students in Berber regions march in support of Tamazight language rights,https://www.middleeastmonitor.com/20171213-clashes-as-algeria-students-march-in-support-of-berber-language/,https://www.huffpostmaghreb.com/2017/12/14/affrontements-a-bouira_n_18819722.html,28.033886,1.659626,Nationwide,"College or University,Secondary School","Protest or demonstration,March",Students,Government policy,Federal government,,Algeria-14
Algeria-November-2009,Algeria,15-Nov-09,,Algiers,The National Council of Higher Education Teachers organized a nationwide strike to demand the provision of housing units that were promised to teachers by the president,https://www.algerie360.com/universite-la-greve-largement-suivie-selon-le-cnes/,,28.033886,1.659626,Nationwide,College or University,Strike OR Boycott,Teachers or Academic Staff,Other,Federal government,,Algeria-20
Algeria-May-2015,Algeria,18-May-15,Algiers,University of Algiers,Social Media campaign to in solidarity with a female university student who was not allowed to write an exam because her skirt was too short. ,https://www.cataloguemagazine.com.au/news/algerian-students-protest-over-university-dress-code,https://metro.co.uk/2015/05/18/university-short-skirt-ban-sparks-leg-selfie-protest-in-algeria-5203571/,36.7697979,3.0552665,Nationwide,College or University,Online activism,Students,Accreditation or other school policies,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Injury occurred",Algeria-17
Algeria-November-2017,Algeria,1-Nov-17,,Algiers,Students from Algeria's 11 teacher training institutes protest changes in their admission contracts.,http://www.universityworldnews.com/article.php?story=20180305113653585,https://www.youtube.com/watch?v=0JwwIDWLSiU,28.033886,1.659626,Nationwide,Vocational or Technical Schools,"Protest or demonstration,Strike OR Boycott",Students,Accreditation or other school policies,"School authority,Federal government","Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-6
Algeria-May-2017,Algeria,23-May-17,M'sila,University of M'sila,Student Members of the Student National Solidarity attacked a professor on campus in order to disrupt examinations.,https://www.middleeastmonitor.com/20170524-algerian-professor-beaten-unconscious-by-university-students/,,35.714084,4.52536,Capital City,College or University,Vandalism or Property Damage,Students,Other,School authority,,Algeria-1
Algeria-March-2011,Algeria,1-Mar-11,Boumerdes,University M'hamed Bougara of Boumerdès,Students call for an unlimited strike against the Bologna higher education system,http://www.universityworldnews.com/article.php?story=20110312104703162,,36.7631187,3.4763702,Capital City,College or University,Strike OR Boycott,Students,Accreditation or other school policies,School authority,,Algeria-12
Algeria-September-2014,Algeria,9-Sep-14,Tizi-ouzou,Mouloud Mammeri University of Tizi-ouzou,Students protest after the medical faculty dean abolished 10 psychiatric residency positions,https://www.al-fanarmedia.org/2014/12/new-round-protests-hits-algerian-universities/,,36.6981966,4.0580482,Capital City,College or University,Protest or demonstration,Students,"School quality (food, water, electricity),Accreditation or other school policies",School authority,,Algeria-19
Algeria-March-2011,Algeria,10-Mar-11,Bouzaréah (Algiers),University of Algiers,"Students strike against campus insecurity after a female student was attacked, and had her face slashed. This coincided with the first semester examinations.",http://www.universityworldnews.com/article.php?story=20110312104703162,http://www.universityworldnews.com/article.php?story=20110312104703162,36.7697979,3.0552665,Capital City,College or University,Strike OR Boycott,Students,Other,School authority,,Algeria-7
Algeria-November-2014,Algeria,10-Nov-14,Constantine,University of Constantine,Students in the Architectural department protest to the National Architects' Association lack of recognition of the LMD masters degree.,https://www.al-fanarmedia.org/2014/12/new-round-protests-hits-algerian-universities/,,36.3408311,6.6203356,Capital City,College or University,Protest or demonstration,Students,Accreditation or other school policies,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets)",Algeria-18
Algeria-March-2018,Algeria,21-Mar-18,Bouira,Akli Mohand Oulhadj University,Student members of the National Union of Algerian Students took the Dean of faculty hostage for a few hours.,http://www.lexisnexis.com/lnacui2api/results/docview/docview.do?docLinkInd=true&risb=21_T27586961158&format=GNBFI&sort=RELEVANCE&startDocNo=1&resultsUrlKey=29_T27586961161&cisb=22_T27586961160&treeMax=true&treeWidth=0&csi=10962&docNo=1,,36.3816552,3.8932162,Capital City,College or University,Riot,Students,Accreditation or other school policies,School authority,Injury occurred,Algeria-16
Angola-October-2002,Angola,8-Oct-02,Luanda,Agostinho Neto University,Students protest against a strike by academic staff to demand higher wages.,https://www.news24.com/xArchive/Archive/Police-wound-Luanda-students-20021008,"http://www.angop.ao/angola/en_us/noticias/educacao/2007/11/51/,f1bee6e0-0602-4b1c-a431-b654ca7d1b37.html",-8.9319423,13.2836063,Capital City,Public Space,March,Students,Other,School authority,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Angola-3
Angola-October-2013,Angola,3-Oct-13,Luanda,Ministry of Education,"Flash Mob protests  were used to protest the rule of president Jose Eduardo Dos Santos, in a bid to circumvent laws that require permission to protest. The longest protest occurred for 25 minutes in front of the Ministry of Education.",http://observers.france24.com/en/20141028-angola-video-protest-police-photo-activism,https://stirileprotv.ro/stiri/stirileprotv-special/5-minute-aceasta-este-durata-unui-protest-in-angola-una-dintre-cele-mai-mari-tari-din-africa-video.html,-8.8146556,13.2301756,Capital City,Public Space,Protest or demonstration,"Students,Community Members",Elections,Federal government,,Angola-2
Angola-January-2016,Angola,29-Jan-16,Luanda,Independence Square,University students mobilized by the Angolan Students' Movement called for a march in Lunda to protest tuition hikes.,https://www.makaangola.org/2016/01/estudantes-universitarios-manifestam-se-contra-aumento-de-propinas/,,-8.8146556,13.2301756,Capital City,Public Space,March,Students,School fees,Federal government,,Angola-10
Angola-June-2014,Angola,1-Jun-14,Luanda,Independent University of Angola,Students protest the increase in tuition.,https://www.makaangola.org/2014/06/propinas-protestos-e-policia-na-universidade-independente-de-angola/,,-8.8884165,13.183948,Capital City,College or University,Protest or demonstration,Students,School fees,Federal government,,Angola-11
Angola-June-2017,Angola,25-Jun-17,Luanda,Catholic University of Angola,Students protest a hike in school fees.,https://angola-online.net/noticias/subida-de-propinas-em-2017-leva-estudantes-da-universidade-catolica-a-rua,,-8.85756,13.2818806,Capital City,College or University,Protest or demonstration,Students,School fees,School authority,Arrest or detention,Angola-9
Angola-June-2015,Angola,30-Jun-15,Luanda,Luanda,"17 activists were jailed for organizing a book reading on Dictatorship to Democracy: A Conceptual Framework for Liberation, by Gene Sharp. The charges brought against them include rebellion and civil disobedience.",https://www.theguardian.com/world/2015/nov/17/angolan-activists-charged-rebellion-state-book-reading,,-8.8146556,13.2301756,Capital City,Public Space,Online activism,Students,Other,,"Non-lethal violence (e.g., tear gas, rubber bullets),Arrest or detention",Angola-8
Angola-September-2013,Angola,21-Sep-13,Luanda,Independence Square,"The Angolan Revolutionary Movement, consisting of students and young professionals called for the protest against the rule of then President Jose Eduardo Dos Santos.",https://www.enca.com/africa/angola-journalists-detained-after-foiled-protest,,-8.8146556,13.2301756,Capital City,Public Space,Protest or demonstration,"Students,Community Members",Elections,Federal government,,Angola-1
Angola-September-2002,Angola,28-Sep-02,Luanda,Agostinho Neto University,Teachers at Agostinho Neto University strike to demand higher wages.,https://www.news24.com/xArchive/Archive/Police-wound-Luanda-students-20021008,http://allafrica.com/stories/200307281001.html,-8.9319423,13.2836063,Capital City,,Strike OR Boycott,Teachers or Academic Staff,"School staff working conditions (salaries, security)",School authority,,Angola-4
