Protest Name,Country Name,Date,Locality Name,Geographic Context (F1),School Name,Protest Location (F2),Description of Protest,Primary Source,Additional Sources,Event Type (F3),Actors Involved (F4),Causes (F5),Targets (F6),Characteristics (F7),LAT,LONG
Algeria-June-2017,Algeria,"June 22, 2017",Algiers,Capital City,Ministry of Higher Education and Scientific Research,Government Property,Academics protest the killing of University professors Karoui Bachir Serhan of Khemis Miliana University,https://www.middleeastmonitor.com/20170623-algerian-academics-protest-against-violence-on-campus/,https://www.alaraby.co.uk/english/news/2017/6/24/academics-protest-after-murder-of-algerian-professor,Protest,Teachers / staff,Solidarity protest,,Non-lethal violence,36.753768,3.0587561
Algeria-February-2014,Algeria,"February 22, 2014",Algiers,Capital City,"Ministry of Education,Algiers",Secondary School,High school students march in revolt of remedial courses mandated as a result of a teachers' strike,https://www.dzbreaking.com/2014/02/24/null-7854/,,Protest,Students,Government policy,Federal government,Non-lethal violence,36.753768,3.0587561
Algeria-April-2011,Algeria,"April 12, 2011",Algiers,Capital City,"Place de la Grande Poste,Algiers",College or University,"Students strike against poor teaching conditions and the devaluation of diplomas, and hold a daylong demonstration",https://www.dzbreaking.com/2011/04/12/null-6123/,http://www.universityworldnews.com/article.php?story=20110312104703162,"Protest,March,Strike / boycott",Students,"School quality,Government policy",Federal government,,36.753768,3.0587561
Algeria-March-2012,Algeria,"March 21, 2012",Algiers,Capital City,Embassy of Mozambique,,Mozambican students protest outside Mozambican embassy to demand an increase in their scholarship grant,https://allafrica.com/stories/201203220123.html,,Protest,Students,Government policy,International organization,"Non-lethal violence,Arrest / detention",36.753768,3.0587561
Algeria-November-2017,Algeria,"November 15, 2017",Algiers,Capital City,University of Algiers,College or University,Medical Students at the University of Algiers are striking working and training conditions. The strike was organized by the Autonomous Collective of Algerian Medical Residents,http://www.universityworldnews.com/article.php?story=20180328102900423,https://www.garda.com/crisis24/news-alerts/113406/algeria-medical-residents-continue-strikes-and-protests-update-6,"Protest,Strike / boycott",Students,"School quality,Economic issues","School authority,Federal government",,36.7697979,3.0552665
Algeria-March-2014,Algeria,"March 13, 2014",Bouzaréah (Algiers),Capital City,University of Algiers,College or University,Academic staff of the University of Algiers protest a fourth term of President Bouteflika,https://www.djazairess.com/fr/elwatan/449066,,Protest,Teachers / staff,Government policy,Federal government,,36.7697979,3.0552665
Algeria-March-2011,Algeria,"March 1, 2011",Tizi Ouzou,Major Urban Area,University of Tizi Ouzou,College or University,Students march to demand a change in university policy,http://www.universityworldnews.com/article.php?story=20110312104703162,,March,Students,School quality,School authority,,36.6981966,4.0580482
Algeria-June-2009,Algeria,"June 5, 2009",Skikda,Major Urban Area,University of Skikda,College or University,"Masters students decided to strike against the unreasonable requirements for registration into the fourth year, as stipulated by the MAD system",https://www.djazairess.com/akhersaa/17839,,Strike / boycott,Students,Other,School authority,Non-lethal violence,36.8492216,6.8907318
Algeria-February-2018,Algeria,"February 22, 2018",Bordj Menaïel,Town,Boumerdès province,Public Space,Students protest the dismissal of academic staff involved in the ongoing pay strike,https://www.garda.com/crisis24/news-alerts/93181/algeria-students-in-boumerdes-protest-dismissal-of-professors-feb-22,,"Protest, Road block / occupation",Students,"Solidarity protest,Government policy",,,36.7552496,3.7536663
Algeria-February-2018,Algeria,"February 21, 2018",,Nationwide,Algiers,,Teachers are striking for better working conditions and payment,https://aawsat.com/english/home/article/1183571/teachers’-strike-disrupts-school-second-day-algeria,http://medafricatimes.com/15224-algeria-teachers-strike-a-risk-of-a-lost-academic-year.html,Strike / boycott,Teachers / staff,Economic issues,Federal government,Non-lethal violence,28.033886,1.659626
