country,image_file,description,source1,source2,viz_1,viz_2,timelapse
Algeria,algeria_img.png,"This Northern country has a narrow coastal plain and a large expanse of the Sahara desert. The hottest temperatures on the Earth's surface have been recorded in Algeria. Algeria was once a central territory of the Roman Empire through the 16th century when it became part of the Ottoman Empire. Following the fall of the Ottoman Empire, the country had a brief period of independence before France launched a war in 1830 to colonize the land. France suppressed Algerian resistance, making it a French colony. While France modernized Algeria's agricultural and commercial economies, they also sewed ethnic resentment through the creation of an elite class with only a few Algerians allowed in; this led to a massive nationalist movement and war for independence that lasted from 1954-1962. Algeria achieved independence in 1962. In the 21st century, Algeria has one of the largest economies in Africa. Algeria has a population of 34 million, 99% of which are Sunni Muslims. The government structure of Algeria is a Republic; it's major exports are oil gas. Since independence, Algeria rebuilt the education system, notably replaced French-language education with Arabic, which is the language of instruction for all children between the ages 6 -15.","Stalker, P. (2010). Algeria. In A Guide to Countries of the World. : Oxford University Press. Retrieved 30 Dec. 2020, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0003.",,algeria_lg.png,,algeria_hm.gif
Angola,angola_img.png,"Angola has a population of 18 million; about 59% of Angolan reside in urban spaces. Angola's government is a republic, but its democracy is held by a single party. Angola's major exports are oil, diamonds, and gas. Its capital city is Luanda has a population of 4.5 million. The country was under Portuguese influence and rule for over 500 years. An anti-colonial struggle began in 1961 for independence, which was achieved in 1975. Angola's new constitution established a one-party state headed by a president, which in 1977 was declared a Marxist-Leninist vanguard party. The country was soon in a civil war that lasted 27 years and ended in 2002. The government amended their 1975 Consitution in 1992, which produced a multiparty system, abolished the death penalty, and prioritized the people's rights. The constitution was amended again in 2010 to eliminate the prime minister post and establish a vice president position. The president is limited to two five-year terms, and the National Assembly holds the legislative power in the country. Angola is divided into 18 provinces.","Stalker, P. (2010). Angola. In A Guide to Countries of the World. : Oxford University Press. Retrieved 24 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0006",,angola_lg.png,,angola_hm.gif
Benin,benin_img.png,"Benin is a country with 8 million people with several ethnic groups: the Fon, Adja, Yoruba, Barib make up the most populated of them. Benin is one of the poorest countries in Africa, with one-third of the population living below the poverty line. Malaria and malnutrition remain severe problems in this country. Benin's major exports are cotton and oil. Colonized by France, Benin achieved independence in 1960. A series of military coups through the 1960s-70s. In 1990, Benin established a multiparty democracy.","Stalker, P. (2010). Benin. In A Guide to Countries of the World. : Oxford University Press. Retrieved 30 Dec. 2020, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0022.",,benin_lg.png,,benin_hm.gif
Botswana,botswana_img.png,"Botswana is a Sub-Saharan country of about 2 million people. Ethnically, Botswana is majority Tswana at 79%; other ethnic groups include Kalanga and Basarwa. The capital city of Botswana is Gaborone. The government system in Botswana is a republic. The principal exports in this country are diamonds, copper, nickel; diamonds makeup about 40% of the GDP. Botswana achieved its independence in 1966. It has a 40 member National Assembly which elects an Executive President as well as a 15-member advisory House of Chiefs.","Stalker, P. (2010). Botswana. In A Guide to Countries of the World. : Oxford University Press. Retrieved 30 Dec. 2020, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0027.",,botswana_lg.png,,botswana_hm.gif
Burkina Faso,burkinafaso_img.png,"On the Sahara desert's outskirts, Burkina Faso stretches across a broad plateau mostly of savannah grassland. Burkina Faso has a population of 15 million, with 20% of them living in urban spaces. The capital city is Ouagadougou, where 1.2 million people reside. Burkina Faso secured independence from France in 1960. Between 1983 - 1987 a left-wing group of military officers led by Thomas Sankara took power, promising to free the country from foreign aid. In 1987 Sankara was assassinated in a coup, and in 1991 the government formed a new constitution with presidential elections.","Stalker, P. (2010). Burkina Faso. In A Guide to Countries of the World. : Oxford University Press. Retrieved 30 Dec. 2020, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0032.",,burkinafaso_lg.png,,burkinafaso_hm.gif
Burundi,burundi_img.png,"Burundi is a country of 8 million people, 11% of whom live in urban areas. The capital city is Bujumbura. The two most populous ethnic groups in the country are Hutu and Tutsi, which have been in conflict for centuries. Colonized by Belgium, Burundi achieved independence in 1962, which had controlled Burundi and its neighbor Rwanda as one country. Much of the governing has been infused with ethnic divisions, which has produced violence and massacres. In 1993 Burundi had its first election. In 1998 after several military coups, external mediation by Tanzania and Nelson Mandela formed a new constitution for Burundi.","Stalker, P. (2010). Burkina Faso. In A Guide to Countries of the World. : Oxford University Press. Retrieved 30 Dec. 2020, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0032.",,burundi_lg.png,,burundi_hm.gif
Cameroon,cameroon_img.png,"This West African country is home to 19 million people, about 58% of whom live in urban settings. Cameroon holds a diverse population with over 200 ethnic groups, 24 African language groups, and various religions. Notably, Cameroon was colonized by both the British in the western part and the French in the eastern region. Today, Cameroon has a constitutional democracy, but in 2008 presidential-term limits were removed. The country has the same president, Paul Biya, since 1982. Since the mid-1980's living standards country-wide have been falling, with about 40% of the population living below the poverty line. In 2000 school fees were abolished, and enrollment in primary school is 95%; still, many students drop out.","Stalker, P. (2010). Cameroon. In A Guide to Countries of the World. : Oxford University Press. Retrieved 3 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0036.",,cameroon_lg.png,,cameroon_hm.gif
Cape Verde,cape-verde_img.png,"Cape Verde is one of the continent's smallest countries. This archipelago consists of 10 islands off the western coast of Africa. About 500,000 people live in Cape Verde, 124,000 of which live in its capital city Praia. Originally colonized by the Portuguese, they achieved independence in 1975. The country has a long history of emigration due to the rugged terrain that makes agriculture difficult. Tourism accounts for about 18% of the country's GDP, and the country hosts around 300,000 visitors a year. Otherwise, the government relies on foreign aid and emigrants remittances.","Stalker, P. (2010). Cape Verde. In A Guide to Countries of the World. : Oxford University Press. Retrieved 24 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0038.",,cape-verde_lg.png,,cape-verde_hm.gif
Central African Republic,central-african-republic_img.png,"Central African Republic has a population of 4 million, with 39% of that population living in urban areas. The capital city is Bangui. Colonized by France, the country's national language is Sangho, but the language used in the education system is French. Central African Republic achieved independence in 1960. In 1965 Jean-Bedel Bokassa took control in an authoritarian rule. He crowned himself Emperor Bokassa I. In 1979 France sent troops to remove him, and his successor was ousted in a coup led by General Andre Kolingba, who was lost a presidential election in 1993 to Ange-Félix Patassé. Patasse was removed from power in 2003, after a mutiny by the army in 1996 and a coup attempt in 2000. Since then, there have been two more rebellions in Chad's country and violence, resulting in 300,000 fleeing their homes. In 2011 a disputed election took place and resulting in violence between Christian and Muslim factions. In April 2014, 12,000 UN peacekeepers were deployed, and in 2016 a President and Prime Minister were appointed to restore security and boost the economy.","Stalker, P. (2010). Central African Republic. In A Guide to Countries of the World. : Oxford University Press. Retrieved 24 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0040.",,central-african-republic_lg.png,,
Chad,chad_img.png,"Chad is a very ethnically diverse country, with more than 200 distinct groups. Broadly the country has been divided into the Islamic north, speaking Arabic and the Christian or animist south, speaking French as French colonizers were more entrenched in the north. Still, this division is a generalization as each region has its internal divisions. Chad's economy relies on cotton, livestock, and textiles for exports. Still, much of the country is below the poverty line, and over 400,000 people have died as a result of warfare over the past 30 years. In 1975 a military coup established a new regime, and in 1982 Hissene Habre, backed by the United States, Sudan, and Egypt, took power and produced a rebellion that killed 40,000 people. In 2015 Habre went on trial or crimes against humanity. Chad has also hosted 250,000 refugees from its neighbors Sudan and Central African Republic. In 1994 the country's economic situation changed dramatically when oil was discovered. An oil pipeline of 1,100km was built between Chad and neighboring Cameroon. In 1990 Habre was removed from power, and Idriss Deby was installed as President; he then established a new constitution with multiparty politics and was reelected in 2001 and again in 2006 after he removed the two-term limit, also in 2011 and 2016.","Stalker, P. (2010). Chad. In A Guide to Countries of the World. : Oxford University Press. Retrieved 3 Jan. 2021, from https://www-oxfordreference-com.proxy.library.upenn.edu/view/10.1093/acref/9780199580729.001.0001/acref-9780199580729-e-0041.",,chad_lg.png,,chad_hm.gif
